unlocode,name,city,iso,lat,lng
AQROT,Rothera,,AQ,-67.566670,-68.116670
AQSGN,Signy,,AQ,-60.716670,-45.600000
AQSMT,San Martín,,AQ,-68.116670,-67.100000
AQSYW,Syowa,,AQ,-69.000000,39.583330
AQVKY,Vernadsky,,AQ,-65.233330,-64.250000
AQWSA,Wasa,,AQ,-73.050000,-13.416670
AQZGN,Zhongshan,,AQ,-69.366670,76.383330
ARACF,Arrecifes,,AR,-34.083330,-60.116670
ARASO,Arroyo Seco,,AR,-33.133330,-60.433330
ARBHI,Bahía Blanca,,AR,-38.716670,-62.283330
ARBQS,Barranqueras,,AR,-27.477391,-58.908456
ARBUE,Buenos Aires,,AR,-34.583330,-58.666670
ARBUI,Ingeniero Buitrago,,AR,-33.350000,-60.133330
ARBVC,Bella Vista,,AR,-28.500000,-59.050000
ARCBS,Chimbas,,AR,-31.483330,-68.533330
ARCDL,Candelaria,,AR,-27.450000,-55.750000
ARCHL,Choele Choel,,AR,-39.294650,-65.655173
ARCHO,Chilecito,,AR,-29.166670,-67.500000
ARCLC,Caleta Córdoba,,AR,-45.733330,-67.066670
ARCMP,Campana,,AR,-34.150000,-58.950000
ARCNQ,Corrientes,,AR,-27.468700,-58.831198
ARCOL,Colón,,AR,-32.216670,-58.133330
ARCOU,Concepción del Uruguay,,AR,-32.483330,-58.233330
ARCRD,Comodoro Rivadavia,,AR,-45.863202,-67.475262
ARCRY,Colonia Caroya,,AR,-31.022058,-64.061745
ARCSA,Cabo San Antonio,,AR,-36.033330,-56.566670
ARCUA,Cuatreros/Bahia Blanca,,AR,-38.749189,-62.381347
ARCVI,Caleta Olivia,,AR,-46.472375,-67.571001
ARDGU,Del Guazu,,AR,-33.900000,-58.866670
ARDME,Diamante,,AR,-32.066670,-60.650000
ARDSU,Dock Sur,,AR,-34.650000,-58.333330
ARFMA,Formosa,,AR,-26.185298,-58.174498
ARGEO,Agrelo,,AR,-33.116670,-68.883330
ARGHU,Gualeguaychú,,AR,-33.016670,-58.516670
ARIBY,Ibicuy,,AR,-33.733330,-59.166670
ARINW,Ingeniero White/Bahia Blanca,,AR,-38.783330,-62.266670
ARIQO,Coquimbito,,AR,-32.966670,-68.750000
ARJLS,Jose Leon Suarez,,AR,-34.532869,-58.575535
ARLAV,Lavalle,,AR,-28.200000,-65.133330
ARLCU,Lujan de Cuyo,,AR,-33.050000,-68.866670
ARLPG,La Plata,,AR,-34.850000,-57.883330
ARLPM,La Paz,,AR,-33.466670,-67.550000
ARLPS,Las Palmas,,AR,-38.260811,-57.845873
ARLUJ,Luján,,AR,-34.566670,-59.100000
ARLZG,Luzuriaga,,AR,-32.950000,-68.816670
ARMDQ,Mar del Plata,,AR,-38.050000,-57.533330
ARNEC,Necochea,,AR,-38.554549,-58.739262
ARNOS,Molinos,,AR,-25.416670,-66.316670
AROVI,Olavarría,,AR,-36.883330,-60.333330
AROYA,Goya,,AR,-29.144405,-59.264983
AROYO,Tres Arroyos,,AR,-38.383330,-60.283330
ARPAL,Puerto Alumbrera,,AR,-32.650000,-60.750000
ARPBG,Puerto Belgrano/Bahia Blanca,,AR,-38.877827,-62.090821
ARPCO,Punta Colorada,,AR,-41.700000,-65.000000
ARPCY,Pilcomayo,,AR,-25.052705,-58.130733
ARPEL,Puerto Eldorado,,AR,-26.350000,-54.683330
ARPGV,Puerto Galvan/Bahia Blanca,,AR,-38.783333,-62.300000
ARPLA,Puerto Lavalle,,AR,-29.016670,-59.183330
ARPLO,Punta Loyola,,AR,-51.609424,-69.010354
ARPME,Punta Medanos,,AR,-36.833330,-56.666670
ARPMY,Puerto Madryn,,AR,-42.750000,-65.033330
ARPNL,Puerto Nacional/Bahia Blanca,,AR,-38.716670,-62.283330
ARPP9,Pablo Podestá,,AR,-34.600000,-58.516670
ARPQU,Punta Quilla,,AR,-50.116389,-68.412222
ARPRA,Paraná,,AR,-31.733330,-60.533330
ARPRS,Puerto Rosales/Bahia Blanca,,AR,-38.933330,-62.066670
ARPSS,Posadas,,AR,-27.366482,-55.894295
ARPUD,Puerto Deseado,,AR,-47.750000,-65.900000
ARPWA,Puerto Wanda,,AR,-25.966670,-54.600000
ARQBR,Quebracho/San Lorenzo,,AR,-32.650000,-60.716670
ARQQN,Quequén,,AR,-38.533330,-58.700000
ARRAM,Ramallo,,AR,-33.484939,-60.004455
ARRFO,Rosario de la Frontera,,AR,-25.800000,-64.966670
ARRGA,Río Grande,,AR,-53.783330,-67.700000
ARRGL,Río Gallegos,,AR,-51.633330,-69.216670
ARRIC,Rio Cullen,,AR,-52.800000,-68.183330
ARRIV,Rivadavia,,AR,-33.183330,-68.466670
ARROC,Puerto Ingeniero M. Rocca,,AR,-34.850000,-57.933330
ARROS,Rosario,,AR,-32.950000,-60.650000
ARRSF,Resinfor,,AR,-32.650000,-60.733330
ARRWO,Rawson,,AR,-43.300000,-65.100000
ARRZA,Santa Cruz,,AR,-51.539346,-72.334620
ARSAE,San Antonio Este,,AR,-40.800000,-64.733330
ARSAL,Salto,,AR,-34.291736,-60.254550
ARSAN,Santa Ana,,AR,-27.333330,-55.583330
ARSCA,San Carlos,,AR,-33.766670,-69.033330
ARSFE,San Fernando,,AR,-34.447192,-58.570150
ARSFN,Santa Fe,,AR,-31.600000,-60.683330
ARSIG,San Ignacio,,AR,-27.266670,-55.566670
ARSLO,San Lorenzo,,AR,-32.745486,-60.743091
ARSMA,San Martin,,AR,-32.716670,-60.733330
ARSMR,San Martin,,AR,-33.066670,-68.466670
ARSNS,San Nicolás de los Arroyos,,AR,-33.333330,-60.233330
ARSPD,San Pedro,,AR,-31.770149,-60.422887
ARSSJ,San Salvador de Jujuy,,AR,-24.183330,-65.300000
ARSSN,San Sebastián,,AR,-53.300000,-68.466670
ARSTA,Santa Rosa,,AR,-33.250000,-68.150000
ARTIM,Timbúes,,AR,-32.633330,-60.783330
ARTUC,Tucumán,,AR,-26.816670,-65.216670
ARTUN,Tunuyan,,AR,-33.566670,-69.016670
ARULA,San Julian,,AR,-49.300000,-67.716670
ARURD,Urdurrain,,AR,-32.683330,-58.883330
ARUSH,Ushuaia,,AR,-54.800000,-68.300000
ARVCN,Villa Constitución,,AR,-33.233330,-60.333330
ARVHE,Villa Hernandarias,,AR,-31.233330,-59.983330
ARVLO,Vicente López,,AR,-34.516670,-58.483330
ARVMD,Villa Mercedes,,AR,-31.554705,-68.549583
ARVTT,Villa del Totoral,,AR,-30.704660,-64.068141
ARXPD,San Pedro,,AR,-24.233333,-64.866667
ARZAE,Zárate,,AR,-34.100000,-59.033330
ASPPG,Pago Pago,,AS,-14.279444,-170.700556
AT7PZ,Prinzersdorf,,AT,48.200000,15.516670
ATATK,Paternion,,AT,46.700000,13.633330
ATATN,Asten,,AT,48.216670,14.400000
ATAWH,Altenwörth,,AT,48.383330,15.850000
ATBFS,Bischofshofen,,AT,47.416670,13.216670
ATBNN,Hobersbrunn,,AT,48.500000,16.566670
ATBOE,Böhlerwenk,,AT,47.983330,14.750000
ATBRI,Engabrunn,,AT,48.450000,15.750000
ATBRZ,Bregenz,,AT,47.500000,9.766670
ATDFC,Engerwitzdorf,,AT,48.350000,14.450000
ATDKZ,Deutschkreutz,,AT,47.600000,16.633330
ATDOF,Hadersdorf,,AT,48.450000,15.716670
ATDRA,Drasenhofen,,AT,48.756090,16.646492
ATDRO,Dross,,AT,48.450000,15.566670
ATDUE,Dürnstein,,AT,48.383330,15.516670
ATDWA,Deutsch Wagram,,AT,48.300000,16.566670
ATEBR,Ebreichsdorf,,AT,47.950000,16.400000
ATEIN,Hoflein,,AT,48.066670,16.783330
ATEPD,Erpersdorf,,AT,48.333330,15.900000
ATERL,Erl,,AT,47.666670,12.166670
ATERM,Vordernberg,,AT,47.466670,15.000000
ATERO,Engelmannsbrunn,,AT,48.450000,15.883330
ATERR,Dobermannsdorf,,AT,48.600000,16.816670
ATETZ,Rietz,,AT,47.283330,11.050000
ATEWD,Eibiswald,,AT,46.683330,15.833330
ATFBZ,Sankt Stefan ob Stainz,,AT,46.916670,15.250000
ATFG7,Achau,,AT,48.077526,16.384549
ATFHR,Fehring,,AT,46.933330,16.000000
ATFNA,Freudenau,,AT,48.183330,16.433330
ATFPS,Fulpmes,,AT,47.150000,11.350000
ATFSU,Faistenau,,AT,47.766670,13.216670
ATGA6,Gamlitz,,AT,46.716670,15.550000
ATGDN,Gmunden,,AT,47.916670,13.800000
ATGFS,Greifenstein,,AT,48.333330,16.233330
